GRID: 10 10 3
FITNESS: 98.00
WORKER_ID: 6
SURVIVORS: 7
7 9 1
6 1 0
2 7 1
0 3 0
5 5 1
4 7 2
0 0 2
OBSTACLES: 10
4 5 1
9 2 2
4 6 2
6 4 2
2 4 0
0 2 0
1 2 0
3 9 1
8 1 0
1 5 1
PATH: 100
9 7 0
8 7 0
7 7 0
7 8 0
7 9 0
7 8 0
7 9 1
8 9 0
7 9 0
7 9 1
7 9 0
7 9 1
9 9 1
8 9 2
8 8 2
7 8 2
7 9 2
7 9 1
7 9 2
7 9 1
8 9 2
7 9 1
8 9 1
7 9 1
6 9 1
7 9 1
7 8 1
8 8 1
7 7 1
6 7 0
7 8 0
7 9 0
7 9 2
7 9 1
8 9 0
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
6 9 1
7 9 1
8 9 1
7 9 1
7 9 0
6 9 0
7 9 0
7 9 0
7 9 0
7 9 1
8 9 1
7 9 1
8 7 1
7 9 1
8 9 1
7 9 1
8 9 1
9 9 0
8 8 0
6 8 0
7 9 0
8 9 1
6 8 1
7 9 1
8 9 1
7 9 1
6 9 1
5 9 1
6 9 1
7 9 1
8 9 1
7 9 1
8 9 1
9 9 2
8 9 1
8 9 2
7 9 2
6 9 2
7 9 2
7 8 2
6 8 2
7 7 2
7 9 2
7 9 1
9 7 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
9 8 1
